requirement,dataset,source_file,Subjective,Ambiguous,Nonverifiable,Negative,Vague
The format of service requirements is defined.,DS3,xml_peering.json,-,-,-,-,-
The indication provided shall enable the driver to drive at the permitted speed without receiving a warning and without intervention of ETCS.,DS1,2007-ertms.xml,-,-,indication,-,-
The indication provided shall enable the driver to drive at the permitted speed without receiving a warning and without intervention of ETCS.,DS3,xml_ertms.json,-,-,-,-,-
"The interaction protocol between Web Server-SR, SR-mediator is defined.",DS1,NEW - 2008 - peering.xml,-,-,-,-,-
"The interaction protocol between Web Server-SR, SR-mediator is defined.",DS1,NEW - 2008 - peering.xml,-,-,-,-,-
"The interaction protocol between Web Server-SR, SR-mediator is defined.",DS3,xml_peering.json,-,-,-,-,-
"The interface requirements and specifications will be defined in the TCS to JSIPS-AF IDD, TCS 211.",DS2,1999 - tcs.xml,-,-,-,-,-
"The interface requirements and specifications will be defined in the TCS to JSIPS-AF IDD, TCS 211.",DS4,1999 - tcs,-,-,-,-,-
"The interface requirements and specifications will be defined in the TCS to JSIPS-AF IDD, TCS 211.",DS4,1999 - tcs,-,-,-,-,-
The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,DS3,text_requirements.json,-,-,-,-,-
The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,DS3,text_requirements.json,-,-,-,-,-
The system hardware shall be fixed and patched via an internet connection.,DS1,0000 - gamma j.xml,-,-,-,-,-
The system hardware shall be fixed and patched via an internet connection.,DS3,xml_gamma.json,-,-,-,-,-
The system shall automatically compress image files that are too large in size.,DS1,0000 - gamma j.xml,-,-,too large,-,-
The system shall automatically compress image files that are too large in size.,DS3,xml_gamma.json,-,too large,-,-,-
The system shall be able to acquire shipping charges in less than 2 seconds.,DS1,0000 - gamma j.xml,-,-,-,-,-
The system shall be able to acquire shipping charges in less than 2 seconds.,DS3,xml_gamma.json,-,-,-,-,-
The system shall be able to add product to shopping cart in less than 2ms.,DS1,0000 - gamma j.xml,-,-,-,-,-
The system shall be able to add product to shopping cart in less than 2ms.,DS3,xml_gamma.json,-,-,-,-,-
The system shall be able to email customer and vendor in less than 1 second.,DS1,0000 - gamma j.xml,-,-,-,-,-
The system shall be able to email customer and vendor in less than 1 second.,DS3,xml_gamma.json,-,-,-,-,-
The system shall be able to handle 1000 customers logged in concurrently at the same time.,DS1,0000 - gamma j.xml,-,-,-,-,-
The system shall be able to handle 1000 customers logged in concurrently at the same time.,DS3,xml_gamma.json,-,-,-,-,-
The system shall be able to retrieve 200 products per second.,DS1,0000 - gamma j.xml,-,-,-,-,-
The system shall be able to retrieve 200 products per second.,DS3,xml_gamma.json,-,-,-,-,-
The system shall be able to validate credit card in less than 2 seconds.,DS1,0000 - gamma j.xml,-,-,-,-,-
The system shall be able to validate credit card in less than 2 seconds.,DS3,xml_gamma.json,-,-,-,-,-
The system shall be easily updatable for fixes and patches.,DS1,0000 - gamma j.xml,easily,-,-,-,-
The system shall be easily updatable for fixes and patches.,DS3,xml_gamma.json,easily,-,-,-,-
The system shall be easy to learn,DS1,0000 - gamma j.xml,validate ,-,-,-,-
The system shall be easy to learn,DS3,xml_gamma.json,easy,-,-,-,-
"The system shall create logs of all changes, updates, or fixes that are done to the site.",DS1,0000 - gamma j.xml,-,-,-,-,-
"The system shall create logs of all changes, updates, or fixes that are done to the site.",DS3,xml_gamma.json,-,-,-,-,-
The system shall detect consecutive failed login attempts.,DS1,0000 - gamma j.xml,-,-,-,-,-
The system shall detect consecutive failed login attempts.,DS3,xml_gamma.json,-,-,consecutive ,-,-
The system shall employ easy to locate buttons,DS1,0000 - gamma j.xml,-,-,-,-,-
The system shall employ easy to locate buttons,DS3,xml_gamma.json,easy,-,-,-,-
The system shall encrypt all customer data in database.,DS1,0000 - gamma j.xml,-,-,-,-,-
The system shall encrypt all customer data in database.,DS3,xml_gamma.json,-,-,-,-,-
The system shall encrypt all sensitive information via https.,DS1,0000 - gamma j.xml,sensitive,-,-,-,-
The system shall encrypt all sensitive information via https.,DS3,xml_gamma.json,sensitive information,-,sensitive information,-,-
The system shall prompt customer with friend easy to read error messages.,DS1,0000 - gamma j.xml,easy,-,-,-,-
The system shall prompt customer with friend easy to read error messages.,DS3,xml_gamma.json,easy,-,-,-,-
The system shall use SQL based database to store inventory information.,DS1,0000 - gamma j.xml,-,-,-,-,-
The system shall use SQL based database to store inventory information.,DS3,xml_gamma.json,-,-,-,-,-
The system shall utilize consistent symbols and colors for clear notifications.,DS1,0000 - gamma j.xml,-,-,consistent*clear,-,-
The system shall utilize consistent symbols and colors for clear notifications.,DS3,xml_gamma.json,consistent*clear,-,consistent*clear,-,-
The system shall utilize interchangeable plugins.,DS1,0000 - gamma j.xml,-,-,interchangeable,-,-
The system shall utilize interchangeable plugins.,DS3,xml_gamma.json,-,-,-,-,-
The system should be able to create test environment of weborder system.,DS1,0000 - gamma j.xml,-,-,-,-,-
The system should be able to create test environment of weborder system.,DS3,xml_gamma.json,-,-,-,-,-
The system should be able to run test shipping orders.,DS1,0000 - gamma j.xml,-,-,-,-,-
The system should be able to run test shipping orders.,DS3,xml_gamma.json,-,-,-,-,-
The system should be able to run under debug mode.,DS1,0000 - gamma j.xml,-,-,-,-,-
The system should be able to run under debug mode.,DS3,xml_gamma.json,-,-,-,-,-
The train trip function ,DS1,2007-ertms.xml,-,-,-,-,-
The train trip function ,DS1,2007-ertms.xml,-,-,-,-,-
There are existing policies for long-term peering arrangement.,DS1,NEW - 2008 - peering.xml,-,-,long-term,-,-
There are existing policies for long-term peering arrangement.,DS3,xml_peering.json,-,long-term,-,-,-
There shall be no modes of operation in the shutdown state. [SSS048],DS4,1999 - tcs,-,-,-,-,-
There shall be no modes of operation in the shutdown state. [SSS048],DS4,1999 - tcs,-,-,-,-,-
"This section not applicable, therefore tailored out.",DS2,1999 - tcs.xml,-,-,-,not,-
"This section not applicable, therefore tailored out.",DS4,1999 - tcs,-,-,-,not*,-
"This section not applicable, therefore tailored out.",DS4,1999 - tcs,-,-,-,not*,-
"This section not applicable, therefore tailored out.",DS4,1999 - tcs,-,-,-,not*,-
"Upon the selection of a shutdown command the TCS shall enter the Shutdown State, which will cause the TCS to be placed in a condition where power can be removed without impacting operations as well as causing damage to the system, and from which restart of the system can be accomplished normally. [SSS043]",DS4,1999 - tcs,-,-,-,without*,-
"Upon the selection of a shutdown command the TCS shall enter the Shutdown State, which will cause the TCS to be placed in a condition where power can be removed without impacting operations as well as causing damage to the system, and from which restart of the system can be accomplished normally. [SSS043]",DS4,1999 - tcs,-,-,-,without*,-
Visual and acoustic warnings to the driver about possible intervention from ETCS shall be given to enable the driver to react and avoid intervention.,DS1,2007-ertms.xml,-,-,possible,-,-
Visual and acoustic warnings to the driver about possible intervention from ETCS shall be given to enable the driver to react and avoid intervention.,DS3,xml_ertms.json,-,-,-,-,-
"Web Store shall operate on an Intel based system with Slackware Linux 2.6 and Apache Web Server. The operating system is designed by the Yoggie Corporation. Although maintenance documentation will be supplied and the operating system will be tested, the developers of this Web Store are not responsible for the functionality of the operating system.",DS1,0000 - gamma j.xml,-,-,-,-,-
"Web Store shall operate on an Intel based system with Slackware Linux 2.6 and Apache Web Server. The operating system is designed by the Yoggie Corporation. Although maintenance documentation will be supplied and the operating system will be tested, the developers of this Web Store are not responsible for the functionality of the operating system.",DS3,xml_gamma.json,-,-,-,-,-
Web servers have already replicated necessary content.,DS1,NEW - 2008 - peering.xml,-,already ,-,-,-
Web servers have already replicated necessary content.,DS3,xml_peering.json,-,-,necessary content,-,-
"When the ETCS trainborne equipment is isolated, the system shall not show any ETCS information other than the fact that the system is isolated.",DS1,2007-ertms.xml,-,-,-,-,-
"When the ETCS trainborne equipment is isolated, the system shall not show any ETCS information other than the fact that the system is isolated.",DS3,xml_ertms.json,-,-,-,-,-
Yoggie shall coordinate on future enhancement and features with our organization.,DS1,0000 - gamma j.xml,-,-,-,-,-
Yoggie shall coordinate on future enhancement and features with our organization.,DS3,xml_gamma.json,-,-,-,-,-
